"qt_cota","entrada","saida","permanencia","id_coagricultor","valor_cota"
9,2020-02-01,2020-04-01,2,1,3240
1,2020-02-01,2022-07-01,29,2,5220
1,2020-02-01,2020-10-01,8,3,1440
1,2020-02-01,2020-07-01,5,4,900
1,2020-02-01,2020-12-01,10,5,1800
1,2020-02-01,2021-04-01,14,6,2520
1,2020-02-01,2024-01-01,47,7,8460
1,2020-02-01,2023-05-01,39,8,7020
1,2020-02-01,2020-03-01,1,9,180
1,2020-02-01,2020-12-01,10,10,1800
1,2020-02-01,2022-07-01,29,11,5220
1,2020-02-01,2021-12-01,22,12,3960
1,2020-02-01,2020-08-01,6,13,1080
1,2020-02-01,2021-04-01,14,14,2520
1,2020-02-01,2022-05-01,27,15,4860
1,2020-02-01,2020-04-01,2,16,360
1,2020-03-01,2020-08-01,5,17,900
1,2020-03-01,2022-08-01,29,18,5220
1,2020-03-01,2020-06-01,3,19,540
1,2020-03-01,2020-08-01,5,20,900
1,2020-03-01,2020-10-01,7,21,1260
1,2020-05-01,2020-11-01,6,22,1080
1,2020-05-01,2021-01-01,8,23,1440
1,2020-05-01,2022-11-01,30,24,5400
1,2020-05-01,2021-01-01,8,25,1440
1,2020-05-01,2022-01-01,20,26,3600
1,2020-05-01,2021-05-01,12,27,2160
1,2020-05-01,2020-06-01,1,28,180
1,2020-06-01,2020-09-01,3,29,540
1,2020-06-01,2021-01-01,7,30,1260
1,2020-06-01,2021-08-01,14,31,2520
1,2020-06-01,2021-03-01,9,32,1620
1,2020-06-01,2020-07-01,1,33,180
1,2020-06-01,2022-08-01,26,34,4680
1,2020-07-01,2020-12-01,5,35,900
1,2020-07-01,2020-09-01,2,36,360
1,2020-07-01,2021-01-01,6,37,1080
1,2020-08-01,2021-02-01,6,38,1080
1,2020-08-01,2021-01-01,5,39,900
1,2020-09-01,2021-04-01,7,40,1260
1,2020-09-01,2021-01-01,4,41,720
1,2020-10-01,2021-01-01,3,42,540
1,2020-10-01,2021-02-01,4,43,720
1,2020-10-01,2025-06-01,56,44,10280
1,2020-10-01,2020-11-01,1,45,180
1,2020-11-01,2021-01-01,2,46,360
1,2020-11-01,2021-01-01,2,47,360
1,2020-11-01,2021-02-01,3,48,540
1,2020-11-01,2021-01-01,2,49,360
1,2020-11-01,2021-11-01,12,50,2160
1,2020-12-01,2021-01-01,1,51,180
1,2020-12-01,2021-03-01,3,52,540
1,2020-12-01,2021-02-01,2,53,360
1,2020-12-01,2021-11-01,11,54,1980
1,2021-01-01,2021-04-01,3,55,540
1,2021-01-01,2021-12-01,11,56,1980
1,2021-01-01,2021-03-01,2,57,360
1,2021-02-01,2021-03-01,1,58,180
1,2021-02-01,2021-06-01,4,59,720
1,2021-02-01,2025-06-01,52,60,9560
1,2021-02-01,2021-03-01,1,61,180
1,2021-03-01,2021-05-01,2,62,360
1,2021-03-01,2021-07-01,4,63,720
1,2021-04-01,2022-01-01,9,64,1620
1,2021-04-01,2021-11-01,7,65,1260
1,2021-04-01,2021-11-01,7,66,1260
1,2021-04-01,2021-07-01,3,67,540
1,2021-04-01,2021-06-01,2,68,360
1,2021-05-01,2022-04-01,11,69,1980
1,2021-05-01,2021-06-01,1,70,180
1,2021-05-01,2021-12-01,7,71,1260
1,2021-06-01,2021-09-01,3,72,540
1,2021-06-01,2021-10-01,4,73,720
1,2021-06-01,2021-12-01,6,74,1080
1,2021-06-01,2021-11-01,5,75,900
1,2021-07-01,2021-09-01,2,76,360
1,2021-08-01,2023-05-01,21,77,3780
1,2021-08-01,2022-08-01,12,78,2160
1,2021-09-01,2021-10-01,1,79,180
1,2021-09-01,2021-10-01,1,80,180
1,2021-09-01,2022-01-01,4,81,720
1,2021-10-01,2022-04-01,6,82,1080
1,2021-10-01,2021-12-01,2,83,360
1,2021-10-01,2021-11-01,1,84,180
1,2021-11-01,2022-02-01,3,85,540
1,2022-01-01,2023-12-01,23,86,4140
1,2022-02-01,2022-06-01,4,87,720
1,2022-03-01,2022-05-01,2,88,360
1,2022-04-01,2022-05-01,1,89,180
1,2022-05-01,2022-07-01,2,90,360
1,2022-05-01,2023-01-01,8,91,1440
1,2022-06-01,2022-12-01,6,92,1080
1,2022-06-01,2022-07-01,1,93,180
1,2022-06-01,2022-07-01,1,94,180
1,2022-06-01,2022-08-01,2,95,360
1,2022-06-01,2022-07-01,1,96,180
1,2022-08-01,2022-11-01,3,97,540
1,2022-08-01,2022-11-01,3,98,540
0.5,2022-08-01,2022-10-01,2,99,180
0.5,2022-08-01,2024-03-01,19,100,1710
0.5,2022-08-01,2023-01-01,5,101,450
0.5,2022-08-01,2022-09-01,1,102,90
0.5,2022-08-01,2023-02-01,6,103,540
0.5,2022-08-01,2022-12-01,4,104,360
0.5,2022-08-01,2022-09-01,1,105,90
0.5,2022-08-01,2022-10-01,2,106,180
0.5,2022-10-01,2025-02-01,28,107,2540
0.5,2022-12-01,2023-07-01,7,108,630
0.5,2023-01-01,2023-06-01,5,109,450
1,2023-01-01,2025-03-01,26,110,4760
1,2023-01-01,2023-02-01,1,111,180
0.5,2023-05-01,2023-12-01,7,112,630
1,2023-06-01,2023-07-01,1,113,180
1,2023-06-01,2023-07-01,1,114,180
1,2023-06-01,2023-07-01,1,115,180
1,2023-08-01,2023-10-01,2,116,360
0.5,2023-11-01,2024-01-01,2,117,180
1,2023-12-01,2024-01-01,1,118,180
0.5,2023-12-01,2024-02-01,2,119,180
0.5,2023-12-01,2024-01-01,1,120,90
0.5,2023-12-01,2024-01-01,1,121,90
0.5,2024-04-01,2024-05-01,1,122,90
0.5,2024-04-01,2024-05-01,1,123,90
1,2024-04-01,2025-05-01,13,124,2500
1,2024-05-01,2024-06-01,1,125,180
1,2024-05-01,2024-06-01,1,126,180
1,2024-09-01,2024-12-01,3,127,540
1,2024-09-01,2025-06-01,9,128,1820
1,2024-10-01,2024-12-01,2,129,360
1,2024-11-01,2025-02-01,3,130,580
1,2025-03-01,2025-06-01,3,131,660
1,2025-03-01,2025-04-01,1,132,220
1,2025-03-01,2025-06-01,3,133,660
1,2025-05-01,2025-06-01,1,134,220
